cruise,depth,temperature,conductivity,salinity,density,oxygen2
EX1903L1,2.833,27.4453,5.80355,36.7026,1023.8629,6.3605
EX1903L1,2.722,27.4454,5.803534,36.7025,1023.8619,6.3602
EX1903L1,2.981,27.4459,5.80355,36.7021,1023.8631,6.3602
EX1903L1,2.885,27.4459,5.803494,36.7017,1023.8628,6.3599
EX1903L1,2.818,27.4459,5.803542,36.702,1023.8623,6.3597
EX1903L1,2.885,27.4459,5.803607,36.7025,1023.8625,6.3628
EX1903L1,2.833,27.4462,5.803623,36.7024,1023.862,6.3595
EX1903L1,2.877,27.446,5.803615,36.7025,1023.8617,6.3627
EX1903L1,2.833,27.4463,5.80351,36.7015,1023.8622,6.3627
EX1903L1,2.818,27.4455,5.803405,36.7014,1023.862,6.3628
EX1903L1,2.885,27.4446,5.803308,36.7014,1023.8627,6.3663
EX1903L1,2.833,27.4439,5.803244,36.7015,1023.8626,6.3666
EX1903L1,2.818,27.4433,5.803308,36.7024,1023.8626,6.3669
EX1903L1,2.833,27.4437,5.8033,36.7021,1023.8628,6.367
EX1903L1,2.781,27.4438,5.803316,36.7021,1023.8624,6.367
EX1903L1,2.818,27.4438,5.8033,36.702,1023.8628,6.3706
EX1903L1,2.781,27.444,5.803389,36.7024,1023.8625,6.3709
EX1903L1,2.766,27.444,5.803324,36.702,1023.8624,6.3714
EX1903L1,2.781,27.4441,5.803316,36.7019,1023.8625,6.3719
EX1903L1,2.781,27.4437,5.80326,36.7018,1023.8625,6.3723
EX1903L1,2.766,27.4435,5.803244,36.7018,1023.8619,6.376
EX1903L1,2.722,27.4429,5.803163,36.7017,1023.8619,6.3736
EX1903L1,2.722,27.4423,5.803107,36.7018,1023.8622,6.3775
EX1903L1,2.714,27.4422,5.803123,36.702,1023.8628,6.3749
EX1903L1,2.722,27.4429,5.803252,36.7023,1023.8638,6.3753
EX1903L1,2.655,27.4439,5.803316,36.7021,1023.8633,6.3755
EX1903L1,2.722,27.4444,5.803405,36.7023,1023.8634,6.3758
EX1903L1,2.67,27.4449,5.803429,36.7021,1023.8624,6.3792
EX1903L1,2.655,27.4449,5.803429,36.7021,1023.8614,6.3796
EX1903L1,2.67,27.4447,5.803397,36.702,1023.8611,6.3804
EX1903L1,2.67,27.4442,5.803381,36.7023,1023.8612,6.3812
EX1903L1,2.655,27.444,5.803413,36.7027,1023.8618,6.382
EX1903L1,2.67,27.4448,5.803502,36.7027,1023.8621,6.386
EX1903L1,2.655,27.4451,5.803485,36.7023,1023.862,6.3837
EX1903L1,2.618,27.4451,5.80351,36.7025,1023.8612,6.3841
EX1903L1,2.67,27.4455,5.803526,36.7023,1023.8614,6.3877
EX1903L1,2.655,27.4454,5.803453,36.7019,1023.8607,6.3853
EX1903L1,2.618,27.4455,5.803502,36.7022,1023.8601,6.389
EX1903L1,2.67,27.446,5.803485,36.7016,1023.8608,6.3895
